,open,close,high,low,volume,money
2019/7/12 9:45,3783.07,3787.58,3794.07,3778.64,1003224800,14086808159
2019/7/12 10:00,3787.79,3803.12,3808.39,3774.52,1048544700,13771394369
2019/7/12 10:15,3803.97,3808.49,3816.23,3803.97,696890700,10143935566
2019/7/12 10:30,3808.7,3800.12,3809.58,3796.66,374772900,5676889992
2019/7/12 10:45,3799.86,3796.75,3800.81,3794.15,274048300,4154318183
2019/7/12 11:00,3796.47,3798.63,3799.11,3791.05,288934100,4013353916
2019/7/12 11:15,3798.77,3811.7,3812.91,3798.77,456620400,5863165366
2019/7/12 11:30,3811.33,3811.57,3818.79,3810.11,454425500,6062939749
2019/7/12 13:15,3811.41,3807.39,3814.09,3804.25,303453100,4570862415
2019/7/12 13:30,3807.36,3809.08,3809.14,3805.56,241768800,3806569396
2019/7/12 13:45,3809.18,3812.92,3814.14,3808.79,328176800,4577496212
2019/7/12 14:00,3813.62,3819.89,3820,3810.86,382930200,5599532929
2019/7/12 14:15,3820.22,3813.02,3820.22,3812.94,351480000,5230278219
2019/7/12 14:30,3813,3816.58,3818.91,3812.47,320813200,5145191461
2019/7/12 14:45,3816.25,3809.44,3818.26,3809.18,430434000,6196204128
2019/7/12 15:00,3809.48,3808.73,3811.73,3808.31,590079200,8108983804
2019/7/15 9:45,3792.64,3753.3,3792.64,3745.85,1880664400,26973017891
2019/7/15 10:00,3753.85,3769.72,3779.97,3750.86,1046056700,14390607564
2019/7/15 10:15,3769.51,3777.62,3780.8,3769.51,554709800,8231757804
2019/7/15 10:30,3777.56,3793.84,3793.9,3777.5,561934100,7876506299
2019/7/15 10:45,3794.57,3799.52,3802.63,3794.57,583127500,8244220505
2019/7/15 11:00,3799.29,3797.41,3807.88,3797.06,488814300,7373373785
2019/7/15 11:15,3797.69,3814.66,3816.01,3797.65,532530500,7128955653
2019/7/15 11:30,3815.1,3842.05,3843.11,3815.1,878157500,11308803180
2019/7/15 13:15,3842.07,3820.21,3844.67,3817.62,682915600,9946329142
2019/7/15 13:30,3819.75,3821.4,3824.96,3816.65,383448700,5693749041
2019/7/15 13:45,3821.72,3814.21,3824.07,3814,362974900,5213581155
2019/7/15 14:00,3814.94,3821.41,3823.93,3814.13,365487100,5190511419
2019/7/15 14:15,3821.29,3815.09,3821.29,3813.78,343156800,4860098304
2019/7/15 14:30,3814.96,3812.66,3820.57,3811.25,386810100,5367110020
2019/7/15 14:45,3813.07,3814.49,3817.08,3809.19,415095200,5964361893
2019/7/15 15:00,3814.5,3824.19,3824.19,3814.5,654639000,8730062845
2019/7/16 9:45,3819.25,3820.63,3828.24,3813.53,1134883900,16364640494
2019/7/16 10:00,3820.95,3816.14,3823.21,3813.75,702832000,9835225037
2019/7/16 10:15,3816.14,3816.53,3818.5,3811.31,688534100,8777760769
2019/7/16 10:30,3816.42,3810.93,3816.77,3810.16,525361000,7348106585
2019/7/16 10:45,3809.9,3809.44,3809.9,3803.81,469158100,7619678219
2019/7/16 11:00,3809.28,3810.22,3810.3,3802.99,379248100,6021330799
2019/7/16 11:15,3810.56,3812.5,3812.71,3808.56,514961900,6159107375
2019/7/16 11:30,3812.69,3811.1,3814.65,3809.37,495990100,5071478890
2019/7/16 13:15,3810.94,3802.11,3811.73,3802.11,470962100,5681867737
2019/7/16 13:30,3802.5,3805.18,3806.04,3801.22,344438900,4391438045
2019/7/16 13:45,3805.12,3802.95,3805.32,3802.31,300452200,4158727494
2019/7/16 14:00,3802.82,3806.73,3807.26,3799.87,341720200,4824021787
2019/7/16 14:15,3806.86,3808.87,3811.88,3806.52,337986300,4447226775
2019/7/16 14:30,3808.43,3804.93,3808.62,3804.8,290723900,4126386804
2019/7/16 14:45,3804.34,3804.41,3804.84,3802.08,390392500,5551913289
2019/7/16 15:00,3804.55,3806.84,3807.26,3804.38,685449900,8070772576
2019/7/17 9:45,3800.11,3809.63,3809.8,3787.99,1274946500,15622690366
2019/7/17 10:00,3809.81,3813.17,3814.11,3806.78,893422000,10380166851
2019/7/17 10:15,3813.48,3818.52,3818.86,3810.78,636535100,7905714354
2019/7/17 10:30,3818.7,3812.59,3820.23,3812.59,683261900,8078482827
2019/7/17 10:45,3812.61,3807.89,3812.8,3807.34,670531600,7520720058
2019/7/17 11:00,3808.03,3803.4,3808.03,3801.81,799802400,8718035809
2019/7/17 11:15,3803.55,3805.58,3808.54,3803.11,449411900,6102265388
2019/7/17 11:30,3805.24,3812.42,3812.77,3803.46,408163200,4687157068
2019/7/17 13:15,3813.38,3813.69,3815.41,3810.99,421894900,5600055261
2019/7/17 13:30,3814.19,3818.52,3819.22,3813.62,460603300,6474559080
2019/7/17 13:45,3818.37,3814.46,3819.26,3814.26,441737700,5726015467
2019/7/17 14:00,3814.44,3811.48,3814.92,3809.93,413195300,5196047406
2019/7/17 14:15,3811.45,3809.2,3812.04,3807.45,357422100,4821729490
2019/7/17 14:30,3808.83,3803.89,3809.61,3803.71,393726300,5154829301
2019/7/17 14:45,3804.1,3805.76,3805.76,3801.15,558421500,6660659169
2019/7/17 15:00,3805.73,3804.64,3806.91,3804.48,655312800,8117653139
2019/7/18 9:45,3793.19,3780.78,3793.39,3779.43,1644409800,20620789460
2019/7/18 10:00,3780.45,3780.29,3787.12,3779.47,907915300,11714867723
2019/7/18 10:15,3779.72,3780.12,3781.58,3773.61,693568200,8999048312
2019/7/18 10:30,3780.09,3780.14,3783.42,3777.73,478304400,6151616574
2019/7/18 10:45,3780.62,3788.76,3788.86,3777.87,453767700,5631556049
