,open,close,high,low,volume,money
2019/7/12 10:00,3783.07,3803.12,3808.39,3774.52,2051769500,27858202528
2019/7/12 10:30,3803.97,3800.12,3816.23,3796.66,1071663600,15820825558
2019/7/12 11:00,3799.86,3798.63,3800.81,3791.05,562982400,8167672099
2019/7/12 11:30,3798.77,3811.57,3818.79,3798.77,911045900,11926105115
2019/7/12 13:30,3811.41,3809.08,3814.09,3804.25,545221900,8377431811
2019/7/12 14:00,3809.18,3819.89,3820,3808.79,711107000,10177029141
2019/7/12 14:30,3820.22,3816.58,3820.22,3812.47,672293200,10375469680
2019/7/12 15:00,3816.25,3808.73,3818.26,3808.31,1020513200,14305187932
2019/7/15 10:00,3792.64,3769.72,3792.64,3745.85,2926721100,41363625455
2019/7/15 10:30,3769.51,3793.84,3793.9,3769.51,1116643900,16108264103
2019/7/15 11:00,3794.57,3797.41,3807.88,3794.57,1071941800,15617594290
2019/7/15 11:30,3797.69,3842.05,3843.11,3797.65,1410688000,18437758833
2019/7/15 13:30,3842.07,3821.4,3844.67,3816.65,1066364300,15640078183
2019/7/15 14:00,3821.72,3821.41,3824.07,3814,728462000,10404092574
2019/7/15 14:30,3821.29,3812.66,3821.29,3811.25,729966900,10227208324
2019/7/15 15:00,3813.07,3824.19,3824.19,3809.19,1069734200,14694424738
2019/7/16 10:00,3819.25,3816.14,3828.24,3813.53,1837715900,26199865531
2019/7/16 10:30,3816.14,3810.93,3818.5,3810.16,1213895100,16125867354
2019/7/16 11:00,3809.9,3810.22,3810.3,3802.99,848406200,13641009018
2019/7/16 11:30,3810.56,3811.1,3814.65,3808.56,1010952000,11230586265
2019/7/16 13:30,3810.94,3805.18,3811.73,3801.22,815401000,10073305782
2019/7/16 14:00,3805.12,3806.73,3807.26,3799.87,642172400,8982749281
2019/7/16 14:30,3806.86,3804.93,3811.88,3804.8,628710200,8573613579
2019/7/16 15:00,3804.34,3806.84,3807.26,3802.08,1075842400,13622685865
2019/7/17 10:00,3800.11,3813.17,3814.11,3787.99,2168368500,26002857217
2019/7/17 10:30,3813.48,3812.59,3820.23,3810.78,1319797000,15984197181
2019/7/17 11:00,3812.61,3803.4,3812.8,3801.81,1470334000,16238755867
2019/7/17 11:30,3803.55,3812.42,3812.77,3803.11,857575100,10789422456
2019/7/17 13:30,3813.38,3818.52,3819.22,3810.99,882498200,12074614341
2019/7/17 14:00,3818.37,3811.48,3819.26,3809.93,854933000,10922062873
2019/7/17 14:30,3811.45,3803.89,3812.04,3803.71,751148400,9976558791
2019/7/17 15:00,3804.1,3804.64,3806.91,3801.15,1213734300,14778312308
2019/7/18 10:00,3793.19,3780.29,3793.39,3779.43,2552325100,32335657183
2019/7/18 10:30,3779.72,3780.14,3783.42,3773.61,1171872600,15150664886
2019/7/18 11:00,3780.62,3788.07,3791.22,3777.87,813990800,10330161125
2019/7/18 11:30,3788.45,3781.8,3790.42,3781.47,701704300,8841017524
2019/7/18 13:30,3781.08,3777.47,3781.08,3775.18,710694500,8802933994
2019/7/18 14:00,3777.57,3777.55,3779.72,3772.1,665590600,8964068398
2019/7/18 14:30,3777.72,3779.06,3787.75,3777.35,917663800,9944752904
2019/7/18 15:00,3779.05,3768.4,3779.05,3768,1215802800,17300109362
2019/7/19 10:00,3787.51,3805.03,3810.07,3787.51,2275977400,31119973650
2019/7/19 10:30,3804.65,3813.51,3828.07,3804.64,1736527700,23143656392
2019/7/19 11:00,3813.58,3816.04,3821.02,3812.33,801295100,10770462130
2019/7/19 11:30,3815.84,3815.95,3822.87,3814.49,655882600,9144287706
2019/7/19 13:30,3816.44,3804.26,3817.53,3804.01,707322600,9558391295
2019/7/19 14:00,3803.84,3802.68,3804.84,3799.5,701660000,8956163701
2019/7/19 14:30,3803.09,3804.23,3805.76,3801.15,713161000,9125548070
2019/7/19 15:00,3803.88,3807.96,3808.5,3803.26,1216788500,15979045117
2019/7/22 10:00,3813.5,3790.4,3816.54,3765.44,2855724700,35732908473
2019/7/22 10:30,3790.36,3798.45,3808.69,3790.36,1135770900,15998869783
2019/7/22 11:00,3798.35,3793.06,3799.09,3790.45,925137900,11788415733
2019/7/22 11:30,3792.22,3807.03,3810.61,3786.27,966355000,11682969583
2019/7/22 13:30,3806.08,3796.95,3806.08,3794.56,673053100,8572093481
2019/7/22 14:00,3796.71,3798.58,3804.14,3796.71,668220100,8728043392
2019/7/22 14:30,3798.28,3789.41,3798.88,3787.46,819436100,10301451630
2019/7/22 15:00,3788.84,3781.68,3792.29,3781.53,1166439900,15005695965
2019/7/23 10:00,3783.54,3791.73,3791.73,3774.35,1592089100,24113074295
2019/7/23 10:30,3791.73,3785.63,3792.96,3782.51,965770700,14219386439
2019/7/23 11:00,3785.36,3777.9,3785.36,3768.76,798316500,13252326213
2019/7/23 11:30,3778.14,3777.38,3784.12,3777.38,544902200,7957890937
2019/7/23 13:30,3777.55,3779.42,3779.42,3772.81,632638300,8730241089
2019/7/23 14:00,3778.99,3786.15,3786.46,3778.26,703507800,9866455582
2019/7/23 14:30,3786.32,3789.32,3790.04,3785.51,867164000,11493524785
2019/7/23 15:00,3789.23,3789.91,3791.5,3785.7,1026946000,14233709316
2019/7/24 10:00,3803.59,3827.12,3828.74,3803.57,2315111900,34873901355
2019/7/24 10:30,3827.03,3832.25,3840.06,3827.03,1588696500,20614576066
2019/7/24 11:00,3832.22,3832.98,3836.91,3830.96,947848600,13778582708
2019/7/24 11:30,3833.07,3828.8,3838.08,3827.65,735324600,11097547518
2019/7/24 13:30,3828.85,3824.52,3829.99,3821.15,782064800,11793619583
2019/7/24 14:00,3824.55,3820.24,3825.3,3819.97,722094000,10344518741
2019/7/24 14:30,3819.78,3812.41,3820.07,3809.85,888039700,12357456525
2019/7/24 15:00,3812.39,3819.83,3819.83,3811.2,1114888300,15080384625
2019/7/25 10:00,3821.39,3815.7,3824.79,3812.95,1855964200,26805715016
2019/7/25 10:30,3815.34,3827.73,3828.02,3814.17,1368830100,17671467280
2019/7/25 11:00,3827.95,3832.1,3836.87,3827.95,1217441800,15949096505
2019/7/25 11:30,3831.81,3838.23,3845.91,3831.81,897016800,13123882564
2019/7/25 13:30,3838.83,3833.36,3839.5,3832.1,842355000,10953592477
2019/7/25 14:00,3833.78,3844.83,3845.23,3832.9,878631400,11724938104
2019/7/25 14:30,3845.32,3838.78,3845.58,3835.1,809342800,10936412167
2019/7/25 15:00,3838.53,3851.07,3851.07,3838.29,1504459600,18734398333
2019/7/26 10:00,3835.23,3850.72,3851.04,3832.52,1830061000,25377733101
2019/7/26 10:30,3850.66,3849.2,3854.7,3844.65,1083662400,15318974199
2019/7/26 11:00,3849.3,3845.8,3849.49,3842.46,923249200,11969846170
2019/7/26 11:30,3845.78,3845.94,3849.27,3844.17,685720400,8900661183
2019/7/26 13:30,3845.97,3850.62,3851.58,3843.27,691251200,9015714572
2019/7/26 14:00,3850.6,3854.48,3858.31,3849.2,951179800,12399685853
2019/7/26 14:30,3854.15,3857.13,3857.33,3852.33,819893100,10624343277
2019/7/26 15:00,3857.33,3858.57,3863.59,3857.33,1340912900,17322770243
2019/7/29 10:00,3857.94,3857.83,3862.75,3845.78,2094148300,28280398998
2019/7/29 10:30,3857.81,3846.1,3857.82,3844.53,1199534900,15763958985
2019/7/29 11:00,3846.16,3846.74,3850.67,3842.75,774884000,10592243323
2019/7/29 11:30,3846.3,3854.24,3856.13,3844.17,615773300,9819640541
2019/7/29 13:30,3854.63,3847.9,3854.63,3845.4,879279600,11212802207
2019/7/29 14:00,3847.73,3850.58,3851.34,3842.43,840711900,10584774069
2019/7/29 14:30,3850.6,3855.57,3857.93,3850.08,884898000,10787960153
2019/7/29 15:00,3855.71,3854.27,3857.39,3851.42,1192207000,14637330452
2019/7/30 10:00,3861.57,3868.03,3878.7,3861.57,2119169200,30646453381
2019/7/30 10:30,3867.97,3887.66,3887.66,3867.97,1356994700,17242201094
2019/7/30 11:00,3887.64,3884.93,3890.51,3883.24,1195035900,15662245463
2019/7/30 11:30,3884.95,3882.65,3886.67,3879.95,667039300,8632674554
2019/7/30 13:30,3882.16,3877.13,3882.16,3876.72,755695100,9770715885
2019/7/30 14:00,3876.63,3873.66,3876.87,3870.66,881604100,10936862600
2019/7/30 14:30,3873.48,3870.17,3874.88,3869.39,909223400,10765565460
2019/7/30 15:00,3870.26,3870.32,3871.8,3866.25,1527633800,16823561481
2019/7/31 10:00,3856.74,3844,3856.74,3843.09,2223417000,29405251803
2019/7/31 10:30,3843.35,3834.18,3844.52,3830.09,1336405200,18018974271
2019/7/31 11:00,3833.84,3834.94,3838.74,3831.42,766592300,10761304336
2019/7/31 11:30,3834.85,3841.78,3842.54,3833.25,652219800,9040133139
2019/7/31 13:30,3841.74,3838.47,3843.2,3837.77,646384900,8768694028
2019/7/31 14:00,3838.73,3844.38,3849.29,3838.73,679557600,9465409237
