,open,close,high,low,volume,money
2019/7/12 9:35,3783.07,3789.53,3789.53,3778.64,374346700,5965140674
2019/7/12 9:40,3789.15,3788.56,3794.07,3788.56,343544800,4352372522
2019/7/12 9:45,3787.58,3787.58,3791.88,3785.92,285333300,3769294963
2019/7/12 9:50,3787.79,3783.62,3787.86,3774.52,343246200,4727297257
2019/7/12 9:55,3783.63,3804.15,3804.15,3783.45,413714800,5218924015
2019/7/12 10:00,3804.86,3803.12,3808.39,3801.99,291583700,3825173097
2019/7/12 10:05,3803.97,3805.04,3812.11,3803.97,283734500,4106614341
2019/7/12 10:10,3804.66,3813.86,3813.86,3804.66,197995800,2948842080
2019/7/12 10:15,3814.08,3808.49,3816.23,3808.49,215160400,3088479145
2019/7/12 10:20,3808.7,3801.86,3809.58,3801.86,149553000,2195274495
2019/7/12 10:25,3801.91,3799.97,3802.58,3799.97,115547900,1807598231
2019/7/12 10:30,3800.12,3800.12,3800.19,3796.66,109672000,1674017266
2019/7/12 10:35,3799.86,3794.62,3800.53,3794.15,99074400,1544908065
2019/7/12 10:40,3794.64,3799.07,3799.13,3794.19,90050300,1361542986
2019/7/12 10:45,3798.88,3796.75,3800.81,3796.75,84923600,1247867132
2019/7/12 10:50,3796.47,3793.91,3796.55,3793.72,90802000,1285559989
2019/7/12 10:55,3793.72,3792.74,3793.82,3791.05,103541700,1460593902
2019/7/12 11:00,3793.4,3798.63,3799.11,3793.4,94590400,1267200025
2019/7/12 11:05,3798.77,3804.77,3811.85,3798.77,213161800,2535638316
2019/7/12 11:10,3804.9,3809.02,3809.61,3804.05,105917000,1450523104
2019/7/12 11:15,3809.02,3811.7,3812.91,3808.28,137541600,1877003946
2019/7/12 11:20,3811.33,3815.54,3818.79,3811.33,243797300,3025098393
2019/7/12 11:25,3814.79,3810.7,3814.79,3810.11,111618800,1585510739
2019/7/12 11:30,3810.46,3811.57,3811.57,3810.25,99009400,1452330617
2019/7/12 13:05,3811.41,3807.78,3814.09,3807.38,148852700,2073569995
2019/7/12 13:10,3807.74,3805.73,3807.74,3804.25,80401400,1312920038
2019/7/12 13:15,3806.02,3807.39,3807.41,3805.04,74199000,1184372382
2019/7/12 13:20,3807.36,3807.13,3808.91,3806.43,86626900,1324623558
2019/7/12 13:25,3807.41,3808.82,3808.85,3805.56,81715000,1272265096
2019/7/12 13:30,3808.86,3809.08,3809.14,3808.14,73426900,1209680742
2019/7/12 13:35,3809.18,3813.8,3813.89,3809.18,105064000,1558696866
2019/7/12 13:40,3813.81,3809.69,3814.14,3809.69,106496500,1523211490
2019/7/12 13:45,3809.53,3812.92,3812.92,3808.79,116616300,1495587856
2019/7/12 13:50,3813.62,3812.42,3814.7,3812.06,102312400,1563138737
2019/7/12 13:55,3812.13,3814.31,3814.46,3810.86,110526100,1568929022
2019/7/12 14:00,3814.53,3819.89,3820,3814.53,170091700,2467465170
2019/7/12 14:05,3820.22,3816.44,3820.22,3816,144702300,2192136764
2019/7/12 14:10,3816.58,3815.43,3816.76,3814.69,96009300,1418410178
2019/7/12 14:15,3815.53,3813.02,3815.96,3812.94,110768400,1619731277
2019/7/12 14:20,3813,3813.58,3813.82,3812.47,98840100,1447031774
2019/7/12 14:25,3814.06,3816.95,3816.95,3813.6,104422500,1813105416
2019/7/12 14:30,3816.85,3816.58,3818.91,3816.27,117550600,1885054271
2019/7/12 14:35,3816.25,3813.55,3818.26,3813.01,138354500,2097608477
2019/7/12 14:40,3813.53,3810.18,3813.89,3809.64,144381200,2017464475
2019/7/12 14:45,3810.45,3809.44,3810.97,3809.18,147698300,2081131176
2019/7/12 14:50,3809.48,3811.11,3811.51,3808.36,163958600,2407129499
2019/7/12 14:55,3811.13,3809.7,3811.73,3809.35,220872200,2909387436
2019/7/12 15:00,3809.93,3808.73,3809.93,3808.31,205248400,2792466869
2019/7/15 9:35,3792.64,3760.41,3792.64,3754.59,818583800,12070454773
2019/7/15 9:40,3760.51,3758.68,3760.51,3751.9,555656500,8004937927
2019/7/15 9:45,3758.56,3753.3,3758.56,3745.85,506424100,6897625191
2019/7/15 9:50,3753.85,3757.58,3760.75,3750.86,373306000,5170190079
2019/7/15 9:55,3757.32,3777.54,3779.97,3754.58,367085900,4768677438
2019/7/15 10:00,3776.89,3769.72,3778.67,3769.24,305664800,4451740047
2019/7/15 10:05,3769.51,3775.68,3778.49,3769.51,196336700,2982353527
2019/7/15 10:10,3776.01,3779.08,3780.8,3776.01,168381400,2661947258
2019/7/15 10:15,3779.44,3777.62,3780.45,3773.94,189991700,2587457019
2019/7/15 10:20,3777.56,3787.64,3787.64,3777.5,184110700,2556858013
2019/7/15 10:25,3787.68,3788.96,3789.86,3785.6,192068500,2796505928
2019/7/15 10:30,3788.86,3793.84,3793.9,3788.86,185754900,2523142358
2019/7/15 10:35,3794.57,3797.42,3802.63,3794.57,256313000,3575198296
2019/7/15 10:40,3797.12,3797.96,3799.07,3795.56,167009200,2367300526
2019/7/15 10:45,3797.8,3799.52,3802.08,3795.62,159805300,2301721683
2019/7/15 10:50,3799.29,3806.06,3806.06,3798.56,153145000,2324883457
2019/7/15 10:55,3807.1,3804.43,3807.88,3804.14,201643900,2818911048
2019/7/15 11:00,3804.34,3797.41,3804.45,3797.06,134025400,2229579280
2019/7/15 11:05,3797.69,3804.29,3804.61,3797.65,119745700,1935641665
2019/7/15 11:10,3804.31,3813.67,3813.67,3804.31,226784200,2683639058
2019/7/15 11:15,3813.39,3814.66,3816.01,3812.19,186000600,2509674930
